Date,InterDayOpenChange,Open,High,Low,Close,Adj Close,Volume
8/7/15,,2.83162,3.53661,2.52112,2.77212,2.77212,164329
8/8/15,-0.01,2.79376,2.79881,0.714725,0.753325,0.753325,674188
8/9/15,-0.75,0.706136,0.87981,0.629191,0.701897,0.701897,532170
8/10/15,0.01,0.713989,0.729854,0.636546,0.708448,0.708448,405283
8/11/15,-0.01,0.708087,1.13141,0.663235,1.06786,1.06786,1463100
8/12/15,0.5,1.05875,1.28994,0.883608,1.21744,1.21744,2150620
8/13/15,0.15,1.22224,1.96507,1.17199,1.82767,1.82767,4068680
8/14/15,0.48,1.81092,2.26188,1.75475,1.82787,1.82787,4637030
8/15/15,0,1.80289,1.87724,1.57098,1.6889,1.6889,2554360
8/16/15,-0.07,1.68435,1.69524,1.08981,1.56603,1.56603,3550790
8/17/15,-0.06,1.58119,1.58119,1.18534,1.20361,1.20361,1942830
8/18/15,-0.23,1.2153,1.33116,1.08705,1.08705,1.08705,1485680
8/19/15,-0.04,1.16693,1.31799,1.16693,1.25886,1.25886,1486240
8/20/15,0.07,1.25118,1.5333,1.24833,1.46492,1.46492,2843760
8/21/15,0.18,1.47752,1.55642,1.3528,1.39529,1.39529,2020970
8/22/15,-0.05,1.39629,1.47641,1.35268,1.37923,1.37923,948310
8/23/15,-0.02,1.375,1.4097,1.29777,1.35259,1.35259,1589300
8/24/15,-0.02,1.34559,1.36278,1.23127,1.23127,1.23127,924920
8/25/15,-0.09,1.22861,1.24182,1.12865,1.14019,1.14019,1307180
8/26/15,-0.08,1.13279,1.20248,1.06183,1.15998,1.15998,1056750
8/27/15,0.03,1.16981,1.18883,1.13729,1.1477,1.1477,686662
8/28/15,-0.02,1.14766,1.20779,1.1205,1.19138,1.19138,721872
8/29/15,0.04,1.19353,1.20721,1.14949,1.18255,1.18255,375377
8/30/15,-0.01,1.18299,1.36799,1.17061,1.31927,1.31927,1337650
8/31/15,0.12,1.32138,1.39615,1.20101,1.35824,1.35824,1447180
9/1/15,0.02,1.35348,1.39274,1.33663,1.35161,1.35161,778862
9/2/15,0,1.35157,1.35491,1.26462,1.29479,1.29479,883769
9/3/15,-0.04,1.29519,1.30999,1.21103,1.26493,1.26493,702991
9/4/15,-0.02,1.26493,1.30252,1.23681,1.27441,1.27441,474391
9/5/15,0.01,1.28056,1.3423,1.27119,1.33881,1.33881,448453
9/6/15,0.04,1.33801,1.37364,1.29425,1.29583,1.29583,491968
9/7/15,-0.03,1.2959,1.30548,1.23785,1.24665,1.24665,489014
9/8/15,-0.04,1.24665,1.28238,1.23061,1.24243,1.24243,427892
9/9/15,-0.01,1.23935,1.26048,1.20184,1.20651,1.20651,366748
9/10/15,-0.03,1.20761,1.22157,1.13615,1.16577,1.16577,662782
9/11/15,-0.04,1.16497,1.16907,0.940675,0.982978,0.982978,1942600
9/12/15,-0.15,0.987228,1.11489,0.96978,1.03874,1.03874,772430
9/13/15,0.06,1.04178,1.0427,0.902832,0.936003,0.936003,644138
9/14/15,-0.1,0.940566,0.949387,0.87176,0.875622,0.875622,741085
9/15/15,-0.07,0.875189,1.04554,0.875189,0.94441,0.94441,703390
9/16/15,0.08,0.941977,0.952698,0.901639,0.907175,0.907175,615593
9/17/15,-0.04,0.906865,0.909204,0.831132,0.874231,0.874231,897940
9/18/15,-0.04,0.874574,0.888102,0.833908,0.853685,0.853685,484622
9/19/15,-0.03,0.849603,0.911883,0.833784,0.882391,0.882391,386988
9/20/15,0.04,0.881191,0.947741,0.873205,0.938445,0.938445,508314
9/21/15,0.07,0.941496,0.957326,0.878301,0.919047,0.919047,424039
9/22/15,-0.02,0.919337,0.919337,0.865225,0.901796,0.901796,487914
9/23/15,-0.02,0.90356,0.90891,0.885136,0.893406,0.893406,200541
9/24/15,-0.01,0.896796,0.908571,0.79346,0.81361,0.81361,842505
9/25/15,-0.09,0.820031,0.825665,0.712745,0.736223,0.736223,903457
9/26/15,-0.1,0.73763,0.787544,0.709328,0.785964,0.785964,369620
9/27/15,0.07,0.791277,0.791277,0.719169,0.720839,0.720839,413801
9/28/15,-0.09,0.723715,0.725677,0.557062,0.582886,0.582886,1320890
9/29/15,-0.2,0.579414,0.67583,0.558346,0.661146,0.661146,913992
9/30/15,0.14,0.661192,0.746722,0.635861,0.738644,0.738644,619926
10/1/15,0.11,0.734307,0.734307,0.655906,0.690215,0.690215,596084
10/2/15,-0.07,0.683732,0.69112,0.654605,0.678574,0.678574,219318
10/3/15,-0.01,0.678783,0.709204,0.675482,0.687171,0.687171,163326
10/4/15,0.01,0.686343,0.693126,0.660716,0.668379,0.668379,103497
10/5/15,-0.03,0.666784,0.674438,0.62445,0.628643,0.628643,234263
10/6/15,-0.07,0.622218,0.653944,0.60623,0.650645,0.650645,262674
10/7/15,0.05,0.650515,0.656301,0.602423,0.609388,0.609388,218327
10/8/15,-0.06,0.609501,0.633138,0.591971,0.621716,0.621716,310266
10/9/15,0.07,0.655084,0.692296,0.632116,0.650628,0.650628,386420
10/10/15,-0.02,0.641187,0.649022,0.624374,0.627857,0.627857,141555
10/11/15,-0.02,0.627461,0.639506,0.618335,0.634963,0.634963,102128
10/12/15,0.01,0.634515,0.657789,0.62603,0.62603,0.62603,109567
10/13/15,-0.01,0.627943,0.63024,0.599214,0.607655,0.607655,303044
10/14/15,-0.03,0.61224,0.61224,0.483974,0.522968,0.522968,971664
